Name;Gauss-Krueger E;Gauss-Krueger N
A Bad Bramstedt;3558492;5977056
A Bad Bramstedt, Theater des Kurhauses (AST-Halt);3558886;5975220
A Barmstedt;3550982;5962674
A Barmstedt Brunnenstraße;3550230;5962645
A Bönningstedt;3560210;5948550
A Boostedt;3566741;5987685
A Burgwedel;3560154;5946574
A Eidelstedt Zentrum;3559714;5942469
A Ellerau;3560714;5958111
A Ellerau;;
A Hasloh;3560827;5951875
A Henstedt-Ulzburg;3564779;5963139
A Kaltenkirchen;3563790;5967428
A Kaltenkirchen Süd;;
A Langenmoor;3543992;5960195
A Meeschensee;3564654;5958550
A Nützen;3560468;5970639
A Quickborn;3559746;5956015
A Quickborner Straße;3565417;5956317
A S Eidelstedt;3560018;5940902
A Schnelsen;3559988;5945048
A Sparrieshoop;3545290;5961387
A Tanneneck;3562260;5958690
A Ulzburg Süd;3564252;5960729
Aasbüttel, Feuerwehr;3529019;5993074
Aasbüttel, Forstweg;3528434;5992535
Achter de Höf;3550505;5938940
Achterdeich;3582972;5920388
Achterdiekbrücke;3580060;5922386
Achterkamp;3567063;5923402
Achtern Born (Kindermuseum);3556473;5939856
Achtern Brack (Ost);3556429;5931063
Achtern Brack (West);3556039;5930954
Achtern Sand;3551120;5939494
Achtern Styg;3557481;5939231
Achterschlag;3582253;5926998
Adebarweg;3549436;5939385
Adendorf;3595173;5907508
Adendorf, An der Bünte;3597397;5906428
Adendorf, Danziger Weg;3595997;5906497
Adendorf, Dorfstraße;3595207;5906932
Adendorf, DRK-Heim;3596557;5906335
Adendorf, Elba;3595221;5908127
Adendorf, Friedhof;3596655;5906949
Adendorf, Grüner Weg;3595625;5905502
Adendorf, Heinrich-Hille-Straße;3596294;5906993
Adendorf, Im Gutspark;3596563;5907005
Adendorf, Kastanienallee;3597094;5906764
Adendorf, Katzenweg;3597252;5907107
Adendorf, Kirchweg;3595895;5906178
Adendorf, Königsberger Weg;3596107;5906699
Adendorf, Kornblumenweg;3595624;5907148
Adendorf, Kreuzkamp;3595879;5907014
Adendorf, Lindenweg;3595970;5905522
Adendorf, Moorchaussee;3596624;5907317
Adendorf, Neue Straße;3595524;5905692
Adendorf, Rauher Weg;3595790;5905914
Adendorf, Robert-Koch-Straße;3596900;5906825
Adendorf, Robert-Schumann-Straße;3595685;5907404
Adendorf, Röntgenstraße;3596705;5906553
Adendorf, Röthenweg;3595623;5906962
Adendorf, Sportzentrum;3597090;5907343
Adendorf, Steinweg;3596282;5905783
Adendorf, Teichaue;3596707;5907055
Adendorf, Virchowstraße;3596581;5906464
Adendorf, Von-Stauffenberg-Straße;3596143;5906546
Adendorf, Weinbergsweg;3595623;5906896
Adendorf, Weinbergsweg (Schule);3595622;5906548
Adolf-Köster-Damm;3576206;5928814
Aebtissinwisch;3518999;5981904
Afrikastraße;3565712;5933344
Agathe-Lasch-Weg;3559296;5936046
Agathenburg;3535290;5937080
Agathenburg, Buchenweg;3534850;5937138
Agathenburg, Feldstraße;3535167;5936930
Agathenburg, Hanfberg/Lieth;3535579;5936389
Agathenburg, Hauptstraße 13;3535001;5937182
Agathenburg, Schulstraße;3535228;5936844
Agethorst, Burenbrook 6;3529451;5989096
Agethorst, Dorfstraße (Nord);3528557;5988343
Agethorst, Dorfstraße 17;3528636;5987735
Ahlerstedt, Grundschule;3529903;5918856
Ahlerstedt, Grundschule (Kehre);3529892;5918799
Ahlerstedt, Holzhäuserstraße;3530368;5919806
Ahlerstedt, In der Heide;3531463;5919877
Ahlerstedt, Kakerbecker Straße;3530158;5919442
Ahlerstedt, Paradies;3531724;5919313
Ahlerstedt, Schulzentrum;3529802;5918950
Ahlerstedt, Stader Straße;3530070;5919398
Ahndorf, Am Rundling;3616271;5893267
Ahndorf, Moorberg;3616289;5893291
Ahrenlohe, Brookkamp;3548569;5952952
Ahrenlohe, Hörnweg;3549031;5953338
Ahrenlohe, Prisdorfer Weg;3549663;5953960
Ahrensburg;3581840;5949380
